,duplication,SubHOG_after_duplication,subhog_branch_length,tax_level_subhog,member_gene_orth_id,member_gene_ensembl_id,tissues,taxon
0,https://omabrowser.org/oma/hog/information/HOG:0010677.1,https://omabrowser.org/oma/hog/information/HOG:0010677.1a_33554,15.80949489,Carnivora,http://omabrowser.org/ontology/oma#GENE_ENSCAFG00000009216,ENSCAFG00000009216,"{'nose', 'frontal cortex', 'colon', 'hypothalamus', 'cerebellum', 'prefrontal cortex', 'adipose tissue', 'head', 'adrenal gland', 'olfactory bulb', 'mitral valve', 'jejunum', 'heart left ventricle', 'urinary bladder', 'pancreas', 'cardiac muscle of left ventricle', 'occipital cortex', 'metanephros cortex', 'lymph node', 'kidney', 'smooth muscle tissue', 'adrenal cortex', 'cartilage tissue', 'lung', 'spinal cord', 'cerebral cortex', 'bone marrow', 'pituitary gland', 'mucosa of urinary bladder', 'hair follicle', 'heart right ventricle', 'stomach', 'saliva-secreting gland', 'thymus', 'keratinocyte', 'testis', 'small intestine', 'brain', 'left cardiac atrium', 'thyroid gland', 'heart', 'spleen', 'retina', 'right cardiac atrium', 'female gonad', 'skeletal muscle tissue', 'liver', 'adult mammalian kidney', 'placenta', 'renal medulla', 'zone of skin', 'mammary gland'}",Canis lupus familiaris
1,https://omabrowser.org/oma/hog/information/HOG:0010677.1,https://omabrowser.org/oma/hog/information/HOG:0010677.1a_33554,15.80949489,Carnivora,http://omabrowser.org/ontology/oma#GENE_ENSFCAG00000024116,ENSFCAG00000024116,"{'eyeball of camera-type eye', 'prefrontal cortex', 'uterus', 'tip of external ear', 'embryo', 'testis', 'liver', 'embryonic head', 'adult mammalian kidney', 'spleen', 'zone of skin'}",Felis catus
2,https://omabrowser.org/oma/hog/information/HOG:0010677.1,https://omabrowser.org/oma/hog/information/HOG:0010677.1b_33554,1.991658181,Carnivora,http://omabrowser.org/ontology/oma#GENE_ENSFCAG00000008993,ENSFCAG00000008993,"{'eyeball of camera-type eye', 'prefrontal cortex', 'uterus', 'tip of external ear', 'embryo', 'testis', 'liver', 'embryonic head', 'adult mammalian kidney', 'spleen', 'zone of skin'}",Felis catus
3,https://omabrowser.org/oma/hog/information/HOG:0010677.1,https://omabrowser.org/oma/hog/information/HOG:0010677.1b_33554,1.991658181,Carnivora,http://omabrowser.org/ontology/oma#GENE_ENSCAFG00000017745,ENSCAFG00000017745,"{'nose', 'frontal cortex', 'colon', 'hypothalamus', 'cerebellum', 'prefrontal cortex', 'adipose tissue', 'head', 'adrenal gland', 'olfactory bulb', 'mitral valve', 'jejunum', 'heart left ventricle', 'urinary bladder', 'pancreas', 'cardiac muscle of left ventricle', 'occipital cortex', 'metanephros cortex', 'lymph node', 'kidney', 'smooth muscle tissue', 'adrenal cortex', 'cartilage tissue', 'lung', 'spinal cord', 'cerebral cortex', 'bone marrow', 'pituitary gland', 'mucosa of urinary bladder', 'hair follicle', 'heart right ventricle', 'stomach', 'saliva-secreting gland', 'thymus', 'testis', 'small intestine', 'brain', 'left cardiac atrium', 'thyroid gland', 'heart', 'spleen', 'retina', 'right cardiac atrium', 'female gonad', 'skeletal muscle tissue', 'liver', 'adult mammalian kidney', 'placenta', 'renal medulla', 'zone of skin', 'mammary gland'}",Canis lupus familiaris
4,https://omabrowser.org/oma/hog/information/HOG:0013838.2,https://omabrowser.org/oma/hog/information/HOG:0013838.2a_9526,0.813780256,Catarrhini,http://omabrowser.org/ontology/oma#GENE_ENSGGOG00000014618,ENSGGOG00000014618,{'testis'},Gorilla gorilla
5,https://omabrowser.org/oma/hog/information/HOG:0013838.2,https://omabrowser.org/oma/hog/information/HOG:0013838.2b_9526,0.574547418,Catarrhini,http://omabrowser.org/ontology/oma#GENE_ENSMMUG00000005703,ENSMMUG00000005703,"{'spermatid', 'multi-cellular organism', 'testis', 'spermatocyte'}",Macaca mulatta
6,https://omabrowser.org/oma/hog/information/HOG:0016725.2b.2a.2,https://omabrowser.org/oma/hog/information/HOG:0016725.2b.2a.2a_39107,2.377066545,Murinae,http://omabrowser.org/ontology/oma#GENE_ENSRNOG00000021065,ENSRNOG00000021065,"{'adult mammalian kidney', 'jejunum', 'kidney'}",Rattus norvegicus
7,https://omabrowser.org/oma/hog/information/HOG:0016725.2b.2a.2,https://omabrowser.org/oma/hog/information/HOG:0016725.2b.2a.2d_39107,4.689462455,Murinae,http://omabrowser.org/ontology/oma#GENE_ENSRNOG00000021069,ENSRNOG00000021069,"{'adult mammalian kidney', 'kidney'}",Rattus norvegicus
8,https://omabrowser.org/oma/hog/information/HOG:0015321.1,https://omabrowser.org/oma/hog/information/HOG:0015321.1a_9526,0.643253089,Catarrhini,http://omabrowser.org/ontology/oma#GENE_ENSMMUG00000023191,ENSMMUG00000023191,"{'multi-cellular organism', 'frontal cortex', 'prefrontal cortex', 'brain'}",Macaca mulatta
9,https://omabrowser.org/oma/hog/information/HOG:0015321.1,https://omabrowser.org/oma/hog/information/HOG:0015321.1a_9526,0.643253089,Catarrhini,http://omabrowser.org/ontology/oma#GENE_ENSGGOG00000004928,ENSGGOG00000004928,"{'frontal cortex', 'prefrontal cortex'}",Gorilla gorilla
10,https://omabrowser.org/oma/hog/information/HOG:0015321.1,https://omabrowser.org/oma/hog/information/HOG:0015321.1b_9526,0.948984885,Catarrhini,http://omabrowser.org/ontology/oma#GENE_ENSMMUG00000010178,ENSMMUG00000010178,"{'cortex of kidney', 'frontal cortex', 'colon', 'spermatocyte', 'cerebellum', 'dorsolateral prefrontal cortex', 'prefrontal cortex', 'cerebellar cortex', 'lung', 'testis', 'brain', 'primary visual cortex', 'heart', 'spleen', 'multi-cellular organism', 'fibroblast', 'liver', 'skeletal muscle tissue', 'kidney', 'adult mammalian kidney', 'hindlimb stylopod muscle', 'ileum', 'superior frontal gyrus'}",Macaca mulatta
11,https://omabrowser.org/oma/hog/information/HOG:0015321.1,https://omabrowser.org/oma/hog/information/HOG:0015321.1b_9526,0.948984885,Catarrhini,http://omabrowser.org/ontology/oma#GENE_ENSGGOG00000028118,ENSGGOG00000028118,"{'frontal cortex', 'cerebellum', 'prefrontal cortex', 'testis', 'liver', 'adult mammalian kidney', 'heart'}",Gorilla gorilla
