taxon,num_anat_entities_per_species
Mus musculus,3257
Danio rerio,1292
Drosophila melanogaster,1137
Xenopus tropicalis,395
Caenorhabditis elegans,356
Homo sapiens,322
Canis lupus familiaris,54
Sus scrofa,41
Pan troglodytes,27
Pan paniscus,27
Macaca mulatta,25
Monodelphis domestica,24
Equus caballus,24
Rattus norvegicus,22
Bos taurus,19
Oryctolagus cuniculus,19
Anolis carolinensis,15
Gallus gallus,14
Felis catus,11
Ornithorhynchus anatinus,9
Gorilla gorilla,7
Cavia porcellus,5
Drosophila simulans,4
Drosophila pseudoobscura,4
Erinaceus europaeus,3
Drosophila mojavensis,2
Drosophila yakuba,1
Drosophila virilis,1
Drosophila ananassae,1
